scenario,step,governed,protected_present,directive_count,transitions
slow_ramp_challenge,5,0,1,0,0
slow_ramp_challenge,6,0,1,0,0
slow_ramp_challenge,7,0,1,0,0
slow_ramp_challenge,8,0,1,0,0
slow_ramp_challenge,9,0,1,0,0
slow_ramp_challenge,10,0,1,0,0
slow_ramp_challenge,11,0,1,0,0
slow_ramp_challenge,12,0,1,0,0
slow_ramp_challenge,13,0,1,0,0
slow_ramp_challenge,14,0,1,0,0
slow_ramp_challenge,15,0,1,0,0
slow_ramp_challenge,16,0,1,0,0
slow_ramp_challenge,17,0,1,0,0
slow_ramp_challenge,18,0,1,0,0
slow_ramp_challenge,19,0,1,0,0
slow_ramp_challenge,20,0,1,0,0
slow_ramp_challenge,21,0,1,0,0
slow_ramp_challenge,22,0,1,0,0
slow_ramp_challenge,23,0,1,0,0
slow_ramp_challenge,24,0,1,0,0
slow_ramp_challenge,25,0,1,0,0
slow_ramp_challenge,26,0,1,0,0
slow_ramp_challenge,27,0,1,0,0
slow_ramp_challenge,28,0,1,0,0
slow_ramp_challenge,29,0,1,0,0
slow_ramp_challenge,30,0,1,0,0
slow_ramp_challenge,31,0,1,0,0
slow_ramp_challenge,32,0,1,0,0
slow_ramp_challenge,33,0,1,0,0
slow_ramp_challenge,34,0,1,0,0
slow_ramp_challenge,35,0,1,0,0
slow_ramp_challenge,36,0,1,0,0
slow_ramp_challenge,37,0,1,0,0
slow_ramp_challenge,38,0,1,0,0
slow_ramp_challenge,39,0,1,0,0
slow_ramp_challenge,40,0,1,0,0
slow_ramp_challenge,41,0,1,0,0
slow_ramp_challenge,42,0,1,0,0
slow_ramp_challenge,43,0,1,0,0
slow_ramp_challenge,44,0,1,0,0
slow_ramp_challenge,45,0,1,0,0
slow_ramp_challenge,46,0,1,0,0
slow_ramp_challenge,47,0,1,0,0
slow_ramp_challenge,48,0,1,0,0
slow_ramp_challenge,49,0,1,0,0
slow_ramp_challenge,50,0,1,0,0
slow_ramp_challenge,51,0,1,0,0
slow_ramp_challenge,52,0,1,0,0
slow_ramp_challenge,53,0,1,0,0
slow_ramp_challenge,54,0,1,0,0
slow_ramp_challenge,55,0,1,0,0
slow_ramp_challenge,56,0,1,0,0
slow_ramp_challenge,57,0,1,0,0
slow_ramp_challenge,58,0,1,0,0
slow_ramp_challenge,59,0,1,0,0
slow_ramp_challenge,60,0,1,0,0
slow_ramp_challenge,61,0,1,0,0
slow_ramp_challenge,62,0,1,0,0
slow_ramp_challenge,63,0,1,0,0
slow_ramp_challenge,64,0,1,0,0
slow_ramp_challenge,65,0,1,0,0
slow_ramp_challenge,66,0,1,0,0
slow_ramp_challenge,67,0,1,0,0
slow_ramp_challenge,68,0,1,0,0
slow_ramp_challenge,69,0,1,0,0
slow_ramp_challenge,70,0,1,0,0
slow_ramp_challenge,71,0,1,0,0
slow_ramp_challenge,72,0,1,0,0
slow_ramp_challenge,73,0,1,0,0
slow_ramp_challenge,74,0,1,0,0
slow_ramp_challenge,75,0,1,0,0
slow_ramp_challenge,76,0,1,0,0
slow_ramp_challenge,77,0,1,0,0
slow_ramp_challenge,78,0,1,0,0
slow_ramp_challenge,79,0,1,0,0
slow_ramp_challenge,80,0,1,0,0
slow_ramp_challenge,81,0,1,0,0
slow_ramp_challenge,82,0,1,0,0
slow_ramp_challenge,83,0,1,0,0
slow_ramp_challenge,84,0,1,0,0
slow_ramp_challenge,85,0,1,0,0
slow_ramp_challenge,86,0,1,0,0
slow_ramp_challenge,87,0,1,0,0
slow_ramp_challenge,88,0,1,0,0
slow_ramp_challenge,89,0,1,0,0
slow_ramp_challenge,90,0,1,0,0
slow_ramp_challenge,91,0,1,0,0
slow_ramp_challenge,92,0,1,0,0
slow_ramp_challenge,93,0,1,0,0
slow_ramp_challenge,94,0,1,0,0
slow_ramp_challenge,95,0,1,0,0
slow_ramp_challenge,96,0,1,0,0
slow_ramp_challenge,97,0,1,0,0
